history,scenario,attempt_budget,policy,eligible_failures,distinct_failed_questions,evaluated_questions,evaluated_episodes,next_repeat_rate,next_switch_rate,next_stop_rate,mean_probability_drop,mean_first_arm_observations,mean_initial_logit_bonus,valid_bootstrap_draws,recovery,recovery_low,recovery_high,mean_cost,mean_cost_low,mean_cost_high,recovery_delta,recovery_delta_low,recovery_delta_high,cost_delta,cost_delta_low,cost_delta_high
50,arm_shift,3,original,112,53,60,180,0.9464285714285714,0.05357142857142857,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.32142857142857145,0.2241344827586207,0.42201834862385323,3.401907074294198,3.240244260345346,3.5758319471579854,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,3,discount_after_failure,112,53,60,180,0.9464285714285714,0.05357142857142857,0.0,0.01129915554733345,133.15178571428572,6.620464935579928e-06,2000,0.3125,0.21648787963220953,0.41347656249999987,3.38264166827306,3.2253483409619625,3.552817954007797,-0.008928571428571428,-0.03,0.0,-0.019265406021137934,-0.08681577033105661,0.01749548225634394
50,arm_shift,3,repeat_initial,112,53,60,180,1.0,0.0,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.30357142857142855,0.20688286808976464,0.40370194859352476,3.3937841718180377,3.191636220840309,3.6500252308463175,-0.017857142857142856,-0.04630711318795431,0.0,-0.008122902476159679,-0.16376897249770112,0.16428956778994164
50,arm_shift,3,switch_on_failure,112,53,60,180,0.0,1.0,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.39285714285714285,0.28695652173913044,0.5,6.140736450462993,5.617726145961396,6.611914213263037,0.07142857142857142,-0.03252698920431828,0.1747697928135321,2.738829376168794,2.1934111994182364,3.226528704893612
50,arm_shift,5,original,112,53,60,180,0.9464285714285714,0.05357142857142857,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.44642857142857145,0.3303550950196592,0.5702067669172931,4.9909521714783605,4.62337234113215,5.3364610233748335,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,5,discount_after_failure,112,53,60,180,0.9464285714285714,0.05357142857142857,0.0,0.01129915554733345,133.15178571428572,6.620464935579928e-06,2000,0.4375,0.32142857142857145,0.5619047619047619,4.976553885647715,4.6202291055998215,5.30907090366848,-0.008928571428571428,-0.02857142857142857,0.0,-0.014398285830646364,-0.07933644932964388,0.038970186237368164
50,arm_shift,5,repeat_initial,112,53,60,180,1.0,0.0,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.42857142857142855,0.309512987012987,0.5577139639639639,4.9588998175314005,4.575560088847326,5.336480102797173,-0.017857142857142856,-0.06251407657657658,0.024014754098360576,-0.03205235394696077,-0.21455251282505974,0.17049578025402698
50,arm_shift,5,switch_on_failure,112,53,60,180,0.0,1.0,0.0,0.011339354695342193,133.15178571428572,6.620464935579928e-06,2000,0.5625,0.44537650997899164,0.6880846743871258,8.792939151085541,7.890639951166994,9.594898507418375,0.11607142857142858,0.0,0.24141959394134688,3.8019869796071792,3.0080551003409233,4.5808261075603225
50,id,3,original,114,53,60,180,0.956140350877193,0.043859649122807015,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.2543859649122807,0.17212474385245902,0.35,3.2094593462756222,3.0545435373442853,3.3599190796061507,0.0,0.0,0.0,0.0,0.0,0.0
50,id,3,discount_after_failure,114,53,60,180,0.956140350877193,0.043859649122807015,0.0,0.009632074913631569,138.12280701754386,6.620422222231123e-06,2000,0.2631578947368421,0.17699115044247787,0.3584905660377358,3.1287359107046395,2.994826558232749,3.2620470539549777,0.008771929824561403,0.0,0.02912621359223301,-0.08072343557098247,-0.18352507574257548,0.0
50,id,3,repeat_initial,114,53,60,180,1.0,0.0,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.2631578947368421,0.17499007936507935,0.36036297925832805,3.1167653175818777,2.9497145614500404,3.316077844822628,0.008771929824561403,-0.01904761904761905,0.041675420168067176,-0.0926940286937441,-0.25649615751388877,0.07049279821921409
50,id,3,switch_on_failure,114,53,60,180,0.0,1.0,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.43859649122807015,0.3333333333333333,0.5514018691588785,6.467007434270588,6.159061578239819,6.747908094159397,0.18421052631578946,0.06611375331358178,0.3046974311440677,3.2575480879949623,2.940600584726939,3.547516178451632
50,id,5,original,114,53,60,180,0.956140350877193,0.043859649122807015,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.37719298245614036,0.2719298245614035,0.49107142857142855,4.778509277731878,4.447482282637747,5.066816903353869,0.0,0.0,0.0,0.0,0.0,0.0
50,id,5,discount_after_failure,114,53,60,180,0.956140350877193,0.043859649122807015,0.0,0.009632074913631569,138.12280701754386,6.620422222231123e-06,2000,0.37719298245614036,0.2719298245614035,0.49107142857142855,4.724693654017889,4.402416582856531,5.021192804595293,0.0,0.0,0.0,-0.05381562371398832,-0.1493512274706485,0.017857142857142842
50,id,5,repeat_initial,114,53,60,180,1.0,0.0,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.35964912280701755,0.2568689720065867,0.4732142857142857,4.611257102376823,4.296329639862309,4.8994988617786275,-0.017543859649122806,-0.04546497080900751,0.0,-0.16725217535505543,-0.3673046907064501,0.036322361332929654
50,id,5,switch_on_failure,114,53,60,180,0.0,1.0,0.0,0.009676211110334797,138.12280701754386,6.620422222231123e-06,2000,0.5263157894736842,0.4132136629009023,0.6476447876447875,8.949635230694804,8.233593290376165,9.626750519268246,0.14912280701754385,0.0,0.29633163698049175,4.171125952962925,3.4873107100975314,4.859764704679615
200,arm_shift,3,original,108,49,60,180,0.9629629629629629,0.037037037037037035,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.32407407407407407,0.2222222222222222,0.4351926523297491,3.3344709600859126,3.1246491720937266,3.58080497587396,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,3,discount_after_failure,108,49,60,180,0.9629629629629629,0.037037037037037035,0.0,0.0074306246969325735,519.6481481481482,6.617202167094702e-06,2000,0.32407407407407407,0.2222222222222222,0.4351926523297491,3.314492020508437,3.123376817346541,3.524763814353076,0.0,0.0,0.0,-0.019978939577476366,-0.07684301786004875,0.012187097938049027
200,arm_shift,3,repeat_initial,108,49,60,180,1.0,0.0,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.3148148148148148,0.20799801980198018,0.42857142857142855,3.3954882160309094,3.1512703147612493,3.723751656186334,-0.009259259259259259,-0.04311281859070465,0.019417475728155338,0.06101725594499641,-0.01320966750011591,0.16076910953651577
200,arm_shift,3,switch_on_failure,108,49,60,180,0.0,1.0,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.39814814814814814,0.2815458131067961,0.5300312499999998,5.817840761039111,5.3572074366480065,6.219027471586313,0.07407407407407407,-0.04615740740740741,0.1981172739102147,2.4833698009531995,1.9937915565984317,2.9253725729823477
200,arm_shift,5,original,108,49,60,180,0.9629629629629629,0.037037037037037035,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.4444444444444444,0.3238025210084034,0.5757780507780507,4.872562919487354,4.436463881016311,5.270321742207588,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,5,discount_after_failure,108,49,60,180,0.9629629629629629,0.037037037037037035,0.0,0.0074306246969325735,519.6481481481482,6.617202167094702e-06,2000,0.4537037037037037,0.3333333333333333,0.5851063829787234,4.849784774998664,4.442417218414398,5.233940138297747,0.009259259259259259,0.0,0.03,-0.022778144488690203,-0.10166374140829497,0.035056352848711274
200,arm_shift,5,repeat_initial,108,49,60,180,1.0,0.0,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.4351851851851852,0.3113207547169811,0.5636411992263055,4.915013906301669,4.491746561258149,5.354478568676837,-0.009259259259259259,-0.06732402912621359,0.04274425287356317,0.042450986814314924,-0.10628344754463906,0.20973435538186222
200,arm_shift,5,switch_on_failure,108,49,60,180,0.0,1.0,0.0,0.0072141917067840245,519.6481481481482,6.617202167094702e-06,2000,0.5185185185185185,0.4056540030596635,0.6415286086823131,8.483336852463273,7.530288703386369,9.403522119270566,0.07407407407407407,-0.04959710743801653,0.21428571428571427,3.610773932975921,2.660516120438392,4.474038254187725
200,id,3,original,120,52,60,180,0.9833333333333333,0.016666666666666666,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.2833333333333333,0.19509827137106323,0.37759500351864855,3.0800700272385964,2.943414239798925,3.2432836643445597,0.0,0.0,0.0,0.0,0.0,0.0
200,id,3,discount_after_failure,120,52,60,180,0.9833333333333333,0.016666666666666666,0.0,0.006860630359087788,521.3416666666667,6.617215293886382e-06,2000,0.2833333333333333,0.19509827137106323,0.37759500351864855,3.0800700272385964,2.943571783787111,3.245071034576761,0.0,0.0,0.0,0.0,-0.010917180927958618,0.011280429070921416
