history,scenario,attempt_budget,policy,unique_questions,seeds,success,success_low,success_high,success_delta_vs_original,success_delta_vs_original_low,success_delta_vs_original_high,cost_delta_vs_original,cost_delta_vs_original_low,cost_delta_vs_original_high
1000,arm_shift,1,original,60,3,0.3833333333333332,0.2888888888888889,0.4833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,1,ewma,60,3,0.3444444444444444,0.26666666666666666,0.42777777777777776,-0.03888888888888889,-0.11111111111111108,0.02222222222222223,-0.2854931620248959,-0.4331964816700707,-0.14409955735579794
1000,arm_shift,1,repeat_initial,60,3,0.3833333333333332,0.2888888888888889,0.4833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,1,switch_on_failure,60,3,0.3833333333333332,0.2888888888888889,0.4833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,2,original,60,3,0.5055555555555554,0.4000000000000001,0.6112499999999994,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,2,ewma,60,3,0.5444444444444444,0.4443055555555555,0.6444444444444445,0.03888888888888888,-0.016666666666666666,0.1,-0.36706779577137366,-0.6768079433278906,-0.092242382678026
1000,arm_shift,2,repeat_initial,60,3,0.4888888888888888,0.3888888888888889,0.5944444444444446,-0.016666666666666666,-0.03888888888888888,0.0,0.08392559142570942,0.013219316518542851,0.1705163903634677
1000,arm_shift,2,switch_on_failure,60,3,0.4944444444444444,0.3944444444444445,0.5944444444444444,-0.011111111111111112,-0.07777777777777778,0.06111111111111111,1.0269022471715121,0.7686542085557053,1.3086717607049982
1000,arm_shift,3,original,60,3,0.5555555555555555,0.44999999999999996,0.6611111111111112,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,3,ewma,60,3,0.6166666666666667,0.5111111111111111,0.7222222222222221,0.06111111111111111,-0.005555555555555553,0.13333333333333333,-0.5761086949305557,-1.0267722799139245,-0.20802280485115762
1000,arm_shift,3,repeat_initial,60,3,0.5444444444444444,0.44430555555555545,0.6555555555555553,-0.01111111111111111,-0.03888888888888888,0.016666666666666666,0.1929532418236793,0.03788459255714486,0.36976485253920643
1000,arm_shift,3,switch_on_failure,60,3,0.5722222222222222,0.47222222222222227,0.6722222222222223,0.01666666666666667,-0.06111111111111111,0.09444444444444446,1.7574098391846311,1.297149521284611,2.2353133401707277
1000,arm_shift,5,original,60,3,0.6333333333333333,0.5222222222222223,0.7388888888888888,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,5,ewma,60,3,0.7166666666666667,0.6111111111111112,0.8112499999999994,0.08333333333333331,9.02056207507941e-19,0.16666666666666663,-0.7243807146869874,-1.2765541830286664,-0.2069255453798007
1000,arm_shift,5,repeat_initial,60,3,0.5944444444444444,0.48333333333333334,0.7055555555555555,-0.03888888888888888,-0.07777777777777777,-0.005555555555555555,0.08206619557830128,-0.0681983227812405,0.2598842008453176
1000,arm_shift,5,switch_on_failure,60,3,0.6166666666666666,0.5111111111111112,0.722222222222222,-0.01666666666666667,-0.11666666666666663,0.07222222222222222,1.6049431273120058,0.9999791618300171,2.2305127345787437
1000,id,1,original,60,3,0.35,0.2500000000000001,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,1,ewma,60,3,0.3888888888888889,0.29444444444444445,0.4777777777777778,0.03888888888888888,-0.02222222222222222,0.09999999999999996,-0.2854931620248959,-0.44007495749928544,-0.14347996023025822
1000,id,1,repeat_initial,60,3,0.35,0.2500000000000001,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,1,switch_on_failure,60,3,0.35,0.2500000000000001,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,2,original,60,3,0.4777777777777778,0.3777777777777777,0.577777777777778,0.0,0.0,0.0,0.0,0.0,0.0
